Title,Location,Type,Price,Area,Bedrooms,Bathrooms,Purpose,Date Posted,Built Year,Kitchens,Store Rooms,Servant Quarters,Furnished,Gym,Study Room,Drawing Room,Dining Room,Lawn/Garden,Swimming Pool,Electricity Backup,Lounge/Sitting Room,Link
A 10 Marla House Has Landed On Market In LDA Avenue Of LDA Avenue,"LDA Avenue, Lahore, Punjab",House,3.35 Crore,10 Marla,6,6,For Sale,2025-07-23,,1,1,1,False,False,True,True,True,False,False,True,True,https://www.zameen.com/Property/lahore_lda_avenue_a_10_marla_house_has_landed_on_market_in_lda_avenue_of_lda_avenue-52487709-547-1.html
ONE KANAL ROYAL PALACE FOR LUXURY PERSONALITIES HOUSE FOR SALE AT VERY HOT LOCATION NEAR RAYA GOLF CLUB,"DHA Phase 7 - Block S, DHA Phase 7, DHA Defence, Lahore, Punjab",House,7.75 Crore,1 Kanal,5,6,For Sale,2025-07-23,2024.0,2,1,2,True,True,True,True,True,True,True,True,True,https://www.zameen.com/Property/dha_phase_7_dha_phase_7_-_block_s_one_kanal_royal_palace_for_luxury_personalities_house_for_sale_at_very_hot_location_near_raya_golf_club-51425397-1626-1.html
Modern 5 Marla House For Sale In DHA 9 Town,"DHA 9 Town, DHA Defence, Lahore, Punjab",House,2.5 Crore,5 Marla,3,4,For Sale,2025-07-27,2025.0,2,1,2,True,True,True,True,True,True,True,True,True,https://www.zameen.com/Property/dha_defence_dha_9_town_modern_5_marla_house_for_sale_in_dha_9_town-52640924-1452-1.html
LUXURY 1 KANAL BRAND NEW HOUSE AVAILABE FOR SALE IN DHA PHASE 6 LAHORE.,"DHA Phase 6, DHA Defence, Lahore, Punjab",House,9.2 Crore,1 Kanal,5,6,For Sale,2025-07-23,,2,0,0,True,True,True,True,True,True,False,True,True,https://www.zameen.com/Property/dha_defence_dha_phase_6_luxury_1_kanal_brand_new_house_availabe_for_sale_in_dha_phase_6_lahore-52809998-1448-1.html
10 MARLA BRAND NEW HOUSE FOR SALE IN NASHEMAN E IQBAL PHASE 2,"Nasheman-e-Iqbal Phase 2, Nasheman-e-Iqbal, Lahore, Punjab",House,2.95 Crore,10 Marla,6,7,For Sale,2025-07-23,2023.0,0,0,0,True,True,True,True,True,False,False,True,True,https://www.zameen.com/Property/nasheman_e_iqbal_nasheman-e-iqbal_phase_2_10_marla_brand_new_house_for_sale_in_nasheman_e_iqbal_phase_2-52762800-4071-1.html
8 MARLA NEW TYPE TRIPLE STORY HOUSE FOR SALE IN MILITARY ACCOUNT,"Military Accounts Housing Society, Lahore, Punjab",House,2.75 Crore,8 Marla,9,7,For Sale,2025-07-23,,0,0,0,False,True,True,True,True,False,False,False,True,https://www.zameen.com/Property/lahore_military_accounts_housing_society_8_marla_new_type_triple_story_house_for_sale_in_military_account-52762761-781-1.html
Brand New 3 Marla Triple Storey Designer House Is Available For Sale In Medical Housing Scheme Sajid Garden Canal Road Lahore,"Sajid Garden, Lahore, Punjab",House,1.55 Crore,3 Marla,5,5,For Sale,2025-07-23,2025.0,3,0,0,False,False,False,True,True,False,False,True,True,https://www.zameen.com/Property/lahore_sajid_garden_brand_new_3_marla_triple_storey_designer_house_is_available_for_sale_in_medical_housing_scheme_sajid_garden_canal_road_lahore-52882385-10522-1.html
10 Marla 4 Bed Beautiful House For Sale In DHA Phase 8 Ex Park View Block C,"DHA Phase 8 - Ex Park View, DHA Phase 8, DHA Defence, Lahore, Punjab",House,5.5 Crore,10 Marla,4,5,For Sale,2025-07-23,2015.0,1,1,1,True,True,True,True,True,True,True,True,True,https://www.zameen.com/Property/dha_phase_8_dha_phase_8_-_ex_park_view_10_marla_4_bed_beautiful_house_for_sale_in_dha_phase_8_ex_park_view_block_c-52882535-485-1.html
12 MARLA DOUBLE UNIT NEAT HOUSE FOR SALEN IN JOHAR TOWN BOR SOCIETY,"Johar Town Phase 1, Johar Town, Lahore, Punjab",House,3.85 Crore,12 Marla,4,4,For Sale,2025-07-23,2015.0,2,1,1,False,False,False,False,False,True,False,True,False,https://www.zameen.com/Property/johar_town_johar_town_phase_1_12_marla_double_unit_neat_house_for_salen_in_johar_town_bor_society-52724908-3937-1.html
3 Marla Corner House For Sale,"Nishtar Colony, Lahore, Punjab",House,1.15 Crore,3 Marla,4,4,For Sale,2025-07-25,2025.0,0,0,1,False,False,False,False,False,True,False,True,False,https://www.zameen.com/Property/lahore_nishtar_colony_3_marla_corner_house_for_sale-52722231-4398-1.html
Elegant 34 Marla Corner Luxury Villa With Lush Green Lawn For Sale In Defense Raya Serene Living At Its Finest!,"Defence Raya, DHA Defence, Lahore, Punjab",House,15.5 Crore,1.7 Kanal,5,7,For Sale,2025-07-25,2025.0,1,1,2,True,False,True,True,True,True,False,True,True,https://www.zameen.com/Property/dha_defence_defence_raya_elegant_34_marla_corner_luxury_villa_with_lush_green_lawn_for_sale_in_defense_raya_serene_living_at_its_finest-52893871-8172-1.html
12 Marla Tile Floor Double Storey House For Urgent Sale Near Lacas School,"Johar Town Phase 1, Johar Town, Lahore, Punjab",House,4.5 Crore,12 Marla,5,5,For Sale,2025-07-25,2013.0,2,2,1,False,False,True,True,True,True,False,True,True,https://www.zameen.com/Property/johar_town_johar_town_phase_1_12_marla_tile_floor_double_storey_house_for_urgent_sale_near_lacas_school-52814164-3937-1.html
4 Marla Only 3 Year Used Double Story House For Urgent Sale,"Military Accounts Housing Society, Lahore, Punjab",House,1.5 Crore,4 Marla,3,4,For Sale,2025-07-25,,0,0,0,False,False,False,False,False,False,False,False,False,https://www.zameen.com/Property/lahore_military_accounts_housing_society_4_marla_only_3_year_used_double_story_house_for_urgent_sale-52871247-781-1.html
Sawa 4 Marla House Double Storey,"Elite Town - Block C, Elite Town, Lahore, Punjab",House,85 Lakh,4 Marla,3,4,For Sale,2025-07-25,,0,0,0,True,False,False,False,False,True,False,True,False,https://www.zameen.com/Property/elite_town_elite_town_-_block_c_sawa_4_marla_house_double_storey-52508173-3737-1.html
"Ideal 12 Marla House Available In Lake City Meadows Phase 1 - Block A, Lahore","Lake City Meadows Phase 1 - Block A, Lake City Meadows Phase 1, Lake City Meadows, Lahore, Punjab",House,5.75 Crore,12 Marla,5,5,For Sale,2025-07-25,2015.0,1,0,1,False,False,True,True,True,True,False,True,False,https://www.zameen.com/Property/lake_city_meadows_phase_1_lake_city_meadows_phase_1_-_block_a_ideal_12_marla_house_available_in_lake_city_meadows_phase_1_-_block_a_lahore-52797973-4191-1.html
Buy your ideal 5 Marla House in a prime location of Lahore,"Punjab Coop Housing - Block D, Punjab Coop Housing Society, Lahore, Punjab",House,2.25 Crore,5 Marla,3,4,For Sale,2025-07-25,2025.0,3,2,2,True,True,True,True,True,True,False,True,True,https://www.zameen.com/Property/punjab_coop_housing_society_punjab_coop_housing_-_block_d_buy_your_ideal_5_marla_house_in_a_prime_location_of_lahore-52838304-4154-1.html
1 kanal House for sale in DHA phase 1 Block J near to park near to masjid prime location,"DHA Phase 1 - Block J, DHA Phase 1, DHA Defence, Lahore, Punjab",House,6.7 Crore,1 Kanal,5,6,For Sale,2025-07-25,,2,1,1,False,False,False,False,False,True,False,True,False,https://www.zameen.com/Property/dha_phase_1_dha_phase_1_-_block_j_1_kanal_house_for_sale_in_dha_phase_1_block_j_near_to_park_near_to_masjid_prime_location-52771990-1650-1.html
